"id","tipo","fecha","total","metodoPago","estado","createdAt","updatedAt"
110,feria,2025-05-31 11:41:19.095 -0300,12000.0,efectivo,completada,2025-05-31 11:41:19.095 -0300,2025-05-31 11:41:19.095 -0300
111,feria,2025-05-31 11:43:34.448 -0300,7000.0,efectivo,completada,2025-05-31 11:43:34.448 -0300,2025-05-31 11:43:34.448 -0300
112,feria,2025-05-31 11:44:00.729 -0300,2500.0,efectivo,completada,2025-05-31 11:44:00.729 -0300,2025-05-31 11:44:00.729 -0300
113,feria,2025-05-31 11:46:11.571 -0300,1500.0,efectivo,completada,2025-05-31 11:46:11.571 -0300,2025-05-31 11:46:11.571 -0300
114,feria,2025-05-31 11:59:02.081 -0300,2000.0,efectivo,completada,2025-05-31 11:59:02.081 -0300,2025-05-31 11:59:18.562 -0300
115,feria,2025-05-31 12:27:13.619 -0300,10000.0,efectivo,completada,2025-05-31 12:27:13.619 -0300,2025-05-31 12:27:13.619 -0300
116,feria,2025-05-31 12:34:24.416 -0300,2500.0,mercadopago,completada,2025-05-31 12:34:24.416 -0300,2025-05-31 12:34:24.416 -0300
117,feria,2025-05-31 12:34:43.043 -0300,6000.0,mercadopago,completada,2025-05-31 12:34:43.044 -0300,2025-05-31 12:34:43.044 -0300
119,feria,2025-05-31 12:48:47.455 -0300,3500.0,mercadopago,completada,2025-05-31 12:48:47.455 -0300,2025-05-31 12:48:47.455 -0300
120,feria,2025-05-31 12:49:19.782 -0300,3500.0,mercadopago,completada,2025-05-31 12:49:19.782 -0300,2025-05-31 12:49:19.782 -0300
121,feria,2025-05-31 12:50:09.817 -0300,10000.0,mercadopago,completada,2025-05-31 12:50:09.818 -0300,2025-05-31 12:50:09.818 -0300
122,feria,2025-05-31 13:20:25.799 -0300,10000.0,mercadopago,completada,2025-05-31 13:20:25.799 -0300,2025-05-31 13:20:25.799 -0300
123,feria,2025-05-31 13:21:27.286 -0300,7000.0,mercadopago,completada,2025-05-31 13:21:27.286 -0300,2025-05-31 13:21:27.286 -0300
124,feria,2025-05-31 13:29:12.636 -0300,3500.0,mercadopago,completada,2025-05-31 13:29:12.636 -0300,2025-05-31 13:29:12.636 -0300
125,feria,2025-05-31 13:29:17.633 -0300,3500.0,mercadopago,completada,2025-05-31 13:29:17.633 -0300,2025-05-31 13:29:17.633 -0300
126,feria,2025-05-31 13:29:36.674 -0300,3500.0,mercadopago,completada,2025-05-31 13:29:36.675 -0300,2025-05-31 13:29:36.675 -0300
127,feria,2025-05-31 18:27:55.953 -0300,7000.0,mercadopago,completada,2025-05-31 18:27:55.954 -0300,2025-05-31 18:27:55.954 -0300
2,feria,2025-05-17 09:50:41.066 -0300,6000.0,mercadopago,completada,2025-05-17 09:50:41.066 -0300,2025-05-17 09:50:41.066 -0300
3,feria,2025-05-17 10:25:56.060 -0300,6000.0,efectivo,completada,2025-05-17 10:25:56.060 -0300,2025-05-17 10:25:56.060 -0300
178,feria,2025-06-03 22:42:06.802 -0300,8000.0,mercadopago,completada,2025-06-03 22:42:06.802 -0300,2025-06-03 22:42:06.802 -0300
